cell,time
HSPC_025,0.0
HSPC_031,0.001182033096926714
HSPC_037,0.002364066193853428
LT_HSC_001,0.0035460992907801418
HSPC_001,0.004728132387706856
HSPC_008,0.00591016548463357
HSPC_014,0.0070921985815602835
HSPC_020,0.008274231678486997
HSPC_026,0.009456264775413711
HSPC_038,0.010638297872340425
LT_HSC_002,0.01182033096926714
HSPC_002,0.013002364066193853
HSPC_009,0.014184397163120567
HSPC_015,0.015366430260047281
HSPC_021,0.016548463356973995
HSPC_027,0.017730496453900707
HSPC_033,0.018912529550827423
LT_HSC_003,0.02009456264775414
HSPC_003,0.02127659574468085
HSPC_016,0.022458628841607563
HSPC_028,0.02364066193853428
HSPC_034,0.024822695035460994
HSPC_040,0.026004728132387706
LT_HSC_004,0.02718676122931442
HSPC_004,0.028368794326241134
HSPC_011,0.02955082742316785
HSPC_017,0.030732860520094562
HSPC_023,0.031914893617021274
HSPC_035,0.03309692671394799
HSPC_041,0.034278959810874705
HSPC_012,0.035460992907801414
HSPC_018,0.03664302600472813
HSPC_024,0.037825059101654845
HSPC_030,0.03900709219858156
HSPC_036,0.04018912529550828
HSPC_042,0.041371158392434985
LT_HSC_006,0.0425531914893617
HSPC_006,0.04373522458628842
Prog_026,0.044917257683215125
LT_HSC_009,0.04609929078014184
Prog_040,0.04728132387706856
LT_HSC_010,0.04846335697399527
LT_HSC_012,0.04964539007092199
HSPC_049,0.0508274231678487
HSPC_055,0.05200945626477541
HSPC_061,0.05319148936170213
HSPC_067,0.05437352245862884
HSPC_073,0.05555555555555555
HSPC_079,0.05673758865248227
LT_HSC_013,0.057919621749408984
HSPC_043,0.0591016548463357
HSPC_050,0.06028368794326241
HSPC_056,0.061465721040189124
HSPC_068,0.06264775413711583
HSPC_074,0.06382978723404255
HSPC_080,0.06501182033096926
LT_HSC_014,0.06619385342789598
HSPC_051,0.0673758865248227
HSPC_057,0.06855791962174941
HSPC_069,0.06973995271867613
HSPC_075,0.07092198581560283
HSPC_081,0.07210401891252954
LT_HSC_015,0.07328605200945626
HSPC_045,0.07446808510638298
HSPC_058,0.07565011820330969
HSPC_064,0.0768321513002364
HSPC_070,0.07801418439716312
HSPC_076,0.07919621749408984
HSPC_082,0.08037825059101655
LT_HSC_016,0.08156028368794326
HSPC_046,0.08274231678486997
HSPC_053,0.08392434988179669
